record_id_document,document_symbol_found,lang_field,doc_url,date_document
582881.0,A/61/PV.3,English,https://digitallibrary.un.org/record/582881/files/A_61_PV.3-EN.pdf,2006-09-14
582480.0,S/PV.5520,English,https://digitallibrary.un.org/record/582480/files/S_PV.5520-EN.pdf,2006-09-11
581051.0,S/PV.5511,English,https://digitallibrary.un.org/record/581051/files/S_PV.5511-EN.pdf,2006-08-11
580832.0,S/PV.5509,English,https://digitallibrary.un.org/record/580832/files/S_PV.5509-EN.pdf,2006-08-09
580126.0,S/PV.5498,English,https://digitallibrary.un.org/record/580126/files/S_PV.5498-EN.pdf,2006-07-30
579639.0,S/PV.5492,English,https://digitallibrary.un.org/record/579639/files/S_PV.5492-EN.pdf,2006-07-20
576983.0,S/PV.5457,English,https://digitallibrary.un.org/record/576983/files/S_PV.5457-EN.pdf,2006-06-13
576430.0,A/60/PV.88,English,https://digitallibrary.un.org/record/576430/files/A_60_PV.88-EN.pdf,2006-06-06
576360.0,A/60/PV.86,English,https://digitallibrary.un.org/record/576360/files/A_60_PV.86-EN.pdf,2006-06-02
576140.0,A/60/PV.84,English,https://digitallibrary.un.org/record/576140/files/A_60_PV.84-EN.pdf,2006-05-31
574733.0,S/PV.5434,English,https://digitallibrary.un.org/record/574733/files/S_PV.5434-EN.pdf,2006-05-09
574196.0,A/60/PV.78,English,https://digitallibrary.un.org/record/574196/files/A_60_PV.78-EN.pdf,2006-05-02
582593.0,E/2006/SR.6,English,https://digitallibrary.un.org/record/582593/files/E_2006_SR.6-EN.pdf,2006-04-24
572822.0,A/60/PV.75,English,https://digitallibrary.un.org/record/572822/files/A_60_PV.75-EN.pdf,2006-03-30
571502.0,S/PV.5397,English,https://digitallibrary.un.org/record/571502/files/S_PV.5397-EN.pdf,2006-03-27
569790.0,A/60/PV.71,English,https://digitallibrary.un.org/record/569790/files/A_60_PV.71-EN.pdf,2006-03-07
563473.0,A/60/PV.66,English,https://digitallibrary.un.org/record/563473/files/A_60_PV.66-EN.pdf,2005-12-20
563191.0,A/60/PV.63,English,https://digitallibrary.un.org/record/563191/files/A_60_PV.63-EN.pdf,2005-12-15
562419.0,A/60/PV.61,English,https://digitallibrary.un.org/record/562419/files/A_60_PV.61-EN.pdf,2005-12-08
567554.0,A/C.5/60/SR.12,English,https://digitallibrary.un.org/record/567554/files/A_C.5_60_SR.12-EN.pdf,2005-10-25
558602.0,S/PV.5282,English,https://digitallibrary.un.org/record/558602/files/S_PV.5282-EN.pdf,2005-10-17
556625.0,A/60/PV.9,English,https://digitallibrary.un.org/record/556625/files/A_60_PV.9-EN.pdf,2005-09-17
556619.0,A/60/PV.3,English,https://digitallibrary.un.org/record/556619/files/A_60_PV.3-EN.pdf,2005-09-14
